date	m0	m20	m50
20140801	35.62	35.01949999999999	35.0212
20140804	36.54	35.07049999999999	35.058
20140805	35.7	35.12899999999999	35.0716
20140806	35.79	35.17599999999999	35.085
20140807	35.66	35.21249999999999	35.1026
20140808	35.91	35.23649999999999	35.122800000000005
20140811	35.79	35.240999999999985	35.1456
20140812	35.52	35.236499999999985	35.1586
20140813	36.19	35.35649999999998	35.1894
20140814	36.36	35.51399999999998	35.222
20140815	36.47	35.67099999999998	35.2526
20140818	37.38	35.87599999999998	35.2818
20140819	37.83	36.087499999999984	35.3176
20140820	37.5	36.22699999999998	35.3414
20140821	37.64	36.300499999999985	35.361599999999996
20140822	38.01	36.39499999999998	35.3862
20140825	37.71	36.48549999999999	35.4016
20140826	37.79	36.59099999999999	35.4612
20140827	38.18	36.66999999999998	35.5362
20140828	38.31	36.79499999999998	35.6036
20140829	38.51	36.93949999999998	35.68019999999999
20140902	39.27	37.07599999999998	35.7846
20140903	38.87	37.23449999999998	35.88919999999999
20140904	39.19	37.404499999999985	36.00339999999999
20140905	39.59	37.600999999999985	36.13019999999999
20140908	41.81	37.89599999999999	36.293199999999985
20140909	40.78	38.145499999999984	36.423799999999986
20140910	41.14	38.42649999999999	36.54399999999999
20140911	41.26	38.679999999999986	36.66219999999999
20140912	42.88	39.005999999999986	36.80219999999999
20140915	42.55	39.30999999999998	36.930399999999985
20140916	42.71	39.57649999999998	37.07419999999999
20140917	42.59	39.81449999999998	37.235399999999984
20140918	42.08	40.04349999999998	37.37999999999999
20140919	40.93	40.207999999999984	37.499999999999986
20140922	38.65	40.23999999999998	37.564399999999985
20140923	39.05	40.306999999999974	37.631399999999985
20140924	39.88	40.411499999999975	37.71679999999999
20140925	38.95	40.44999999999998	37.81999999999999
20140926	40.66	40.56749999999998	37.968999999999994
20140929	40.52	40.667999999999985	38.11279999999999
20140930	40.75	40.74199999999998	38.26219999999999
20141001	40.32	40.81449999999999	38.39659999999999
20141002	40.5	40.87999999999998	38.51239999999999
20141003	41.03	40.951999999999984	38.60959999999999
20141006	41.52	40.93749999999998	38.71759999999999
20141007	40.93	40.94499999999998	38.81819999999999
20141008	41.08	40.94199999999998	38.92619999999999
20141009	41.1	40.93399999999998	39.01619999999999
20141010	39.6	40.76999999999998	39.09199999999999
20141013	38.38	40.56149999999998	39.14719999999999
20141014	37.97	40.324499999999986	39.175799999999995
20141015	37.82	40.085999999999984	39.218199999999996
20141016	38.12	39.887999999999984	39.264799999999994
20141017	38.45	39.76399999999999	39.32059999999999
20141020	39.28	39.79549999999999	39.38799999999999
20141021	40.18	39.85199999999999	39.47579999999999
20141022	42	39.957999999999984	39.60539999999999
20141023	42.6	40.14049999999999	39.73359999999999
20141024	43.5	40.282499999999985	39.87639999999999
20141027	44.7	40.49149999999999	40.04099999999999
20141028	45.87	40.74749999999999	40.210799999999985
20141029	45.43	41.002999999999986	40.362799999999986
20141030	45.63	41.25949999999999	40.52539999999999
20141031	46.05	41.510499999999986	40.69359999999999
20141103	46.34	41.751499999999986	40.86019999999999
20141104	47.08	42.05899999999999	41.047599999999996
20141105	47.46	42.37799999999999	41.24099999999999
20141106	47.93	42.71949999999999	41.43599999999999
20141107	48.55	43.16699999999999	41.6408
20141110	49.41	43.718499999999985	41.858799999999995
20141111	49.05	44.27249999999998	42.054399999999994
20141112	50.6	44.911499999999975	42.288999999999994
20141113	50.5	45.530499999999975	42.51519999999999
20141114	51.75	46.195499999999974	42.758399999999995
20141117	52.37	46.84999999999998	42.96959999999999
20141118	51.75	47.42849999999998	43.188999999999986
20141119	50.58	47.85749999999998	43.377799999999986
20141120	51.25	48.28999999999998	43.57759999999998
20141121	51.04	48.66699999999998	43.74079999999998
20141124	51.83	49.02349999999998	43.92639999999997
20141125	51.72	49.31599999999998	44.10659999999997
20141126	51.93	49.64099999999998	44.29339999999996
20141128	51.74	49.94649999999997	44.48659999999996
20141201	50.1	50.14899999999998	44.669999999999966
20141202	50.67	50.36549999999998	44.91039999999996
20141203	50.28	50.52549999999998	45.13499999999996
20141204	50.41	50.67299999999998	45.34559999999996
20141205	50.99	50.82599999999998	45.586399999999955
20141208	49.62	50.879499999999986	45.76559999999996
20141209	50.51	50.934499999999986	45.96539999999996
20141210	49.2	50.941999999999986	46.13439999999996
20141211	49.94	50.908999999999985	46.326799999999956
20141212	50.24	50.89599999999998	46.52159999999995
20141215	49.82	50.79949999999998	46.69739999999995
20141216	48.85	50.62349999999997	46.84399999999995
20141217	50.12	50.54199999999997	47.02779999999995
20141218	50.91	50.558499999999974	47.22439999999995
20141219	50.88	50.53999999999998	47.41999999999995
20141222	51.15	50.54549999999998	47.65099999999996
20141223	50.02	50.45499999999998	47.88379999999996
20141224	50.65	50.40149999999998	48.137399999999964
20141226	50.86	50.34799999999997	48.39819999999996
20141229	50.53	50.28749999999998	48.646399999999964
20141230	51.22	50.34349999999998	48.901799999999966
20141231	50.51	50.33549999999998	49.12639999999997
20150102	50.17	50.329999999999984	49.32619999999997
20150105	49.13	50.26599999999999	49.46879999999997
20150106	49.21	50.176999999999985	49.60099999999998
20150107	48.59	50.12549999999998	49.70279999999998
20150108	50.23	50.11149999999998	49.81339999999998
20150109	49.72	50.137499999999974	49.89039999999998
20150112	48.8	50.08049999999997	49.95779999999999
20150113	48.3	49.98349999999997	50.01119999999999
20150114	47.51	49.86799999999997	50.04039999999999
20150115	46.23	49.73699999999996	50.03819999999999
20150116	46.47	49.554499999999955	50.02599999999998
20150120	47.63	49.39049999999996	50.02939999999999
20150121	48.18	49.255499999999955	50.034399999999984
20150122	48.89	49.142499999999956	50.04119999999998
20150123	48.95	49.088999999999956	50.03199999999998
20150126	49.44	49.02849999999996	50.03979999999998
20150127	47.99	48.88499999999995	49.98759999999997
20150128	46.46	48.68149999999995	49.906799999999976
20150129	43.73	48.306999999999945	49.74639999999997
20150130	43.99	47.98099999999995	49.57879999999997
20150202	44.68	47.70649999999995	49.43739999999997
20150203	44.7	47.48499999999995	49.319799999999965
20150204	44.04	47.226499999999945	49.17559999999997
20150205	43.54	46.97399999999995	49.02559999999997
20150206	42.94	46.60949999999995	48.84779999999997
20150209	42.57	46.251999999999946	48.66479999999998
20150210	43.07	45.96549999999995	48.487599999999986
20150211	42.96	45.69849999999995	48.31199999999999
20150212	43.92	45.518999999999956	48.188399999999994
20150213	44.42	45.42849999999995	48.063399999999994
20150217	43.53	45.28149999999995	47.92839999999999
20150218	43.65	45.082499999999946	47.7932
20150219	44.37	44.89199999999995	47.6608
20150220	44.11	44.65299999999995	47.5506
20150223	43.53	44.38199999999995	47.411
20150224	43.38	44.07899999999995	47.29460000000001
20150225	44.43	43.90099999999995	47.184400000000004
20150226	44.45	43.80049999999995	47.0686
20150227	44.28	43.827999999999946	46.957800000000006
20150302	44.11	43.833999999999946	46.863000000000014
20150303	42.62	43.73099999999995	46.71300000000001
20150304	43.99	43.695499999999946	46.57460000000001
20150305	44.16	43.701499999999946	46.440200000000004
20150306	43.44	43.69649999999994	46.286
20150309	42.98	43.698499999999946	46.1452
20150310	42.68	43.70399999999994	45.9858
20150311	42.5	43.675499999999936	45.818599999999996
20150312	42.95	43.67499999999994	45.66699999999999
20150313	42.87	43.62249999999994	45.49999999999999
20150316	43.51	43.57699999999994	45.35999999999999
20150317	43.78	43.589499999999944	45.23219999999999
20150318	44.67	43.64049999999994	45.142999999999994
20150319	44.98	43.67099999999994	45.05839999999999
20150320	45.04	43.71749999999994	44.98739999999999
20150323	44.72	43.776999999999944	44.87719999999999
20150324	44.42	43.82899999999994	44.77119999999999
20150325	44.2	43.817499999999946	44.67919999999998
20150326	44.47	43.81849999999994	44.602599999999974
20150327	45.1	43.85949999999995	44.554399999999966
20150330	44.95	43.90149999999995	44.52879999999996
20150331	44.44	43.99249999999994	44.48819999999997
20150401	44.13	43.99949999999994	44.41819999999997
20150402	44.15	43.998999999999945	44.33759999999997
